profile,price_region,radius,draw,guaranteed,original_retained
resource_constrained,positive_gaps,0.25,12,30,27
resource_constrained,positive_gaps,0.5,12,18,16
resource_constrained,positive_gaps,0.75,12,17,15
resource_constrained,monotone,0,13,36,34
resource_constrained,monotone,0.1,13,34,33
resource_constrained,monotone,0.25,13,28,28
resource_constrained,monotone,0.5,13,11,11
resource_constrained,monotone,0.75,13,9,9
resource_constrained,positive_gaps,0,13,36,34
resource_constrained,positive_gaps,0.1,13,35,33
resource_constrained,positive_gaps,0.25,13,29,29
resource_constrained,positive_gaps,0.5,13,11,11
resource_constrained,positive_gaps,0.75,13,9,9
resource_constrained,monotone,0,14,47,42
resource_constrained,monotone,0.1,14,46,41
resource_constrained,monotone,0.25,14,34,32
resource_constrained,monotone,0.5,14,19,17
resource_constrained,monotone,0.75,14,15,13
resource_constrained,positive_gaps,0,14,47,42
resource_constrained,positive_gaps,0.1,14,46,41
resource_constrained,positive_gaps,0.25,14,35,33
resource_constrained,positive_gaps,0.5,14,21,19
resource_constrained,positive_gaps,0.75,14,15,13
resource_constrained,monotone,0,15,42,35
resource_constrained,monotone,0.1,15,40,33
resource_constrained,monotone,0.25,15,28,25
resource_constrained,monotone,0.5,15,13,13
resource_constrained,monotone,0.75,15,10,10
resource_constrained,positive_gaps,0,15,42,35
resource_constrained,positive_gaps,0.1,15,40,33
resource_constrained,positive_gaps,0.25,15,31,27
resource_constrained,positive_gaps,0.5,15,14,13
resource_constrained,positive_gaps,0.75,15,11,10
resource_constrained,monotone,0,16,35,33
resource_constrained,monotone,0.1,16,34,32
resource_constrained,monotone,0.25,16,27,26
resource_constrained,monotone,0.5,16,17,16
resource_constrained,monotone,0.75,16,16,15
resource_constrained,positive_gaps,0,16,35,33
resource_constrained,positive_gaps,0.1,16,34,32
resource_constrained,positive_gaps,0.25,16,27,26
resource_constrained,positive_gaps,0.5,16,18,17
resource_constrained,positive_gaps,0.75,16,16,15
resource_constrained,monotone,0,17,37,33
resource_constrained,monotone,0.1,17,37,33
resource_constrained,monotone,0.25,17,28,26
