portfolio,attacker,trial,weighted_service_hours_lost,catastrophic,identity_compromised,total_compromised
isolated_backups,naive,17,120.75000000000001,1,1,226
isolated_backups,adaptive,17,167.6,1,1,264
isolated_backups,naive,18,149.175,1,1,174
isolated_backups,adaptive,18,147.85,1,1,195
isolated_backups,naive,19,126.625,1,1,169
isolated_backups,adaptive,19,113.74999999999999,1,1,200
isolated_backups,naive,20,0.0,0,0,1
isolated_backups,adaptive,20,151.05,1,1,272
isolated_backups,naive,21,117.05000000000001,1,1,248
isolated_backups,adaptive,21,129.025,1,1,282
isolated_backups,naive,22,168.625,1,1,170
isolated_backups,adaptive,22,110.125,1,1,199
isolated_backups,naive,23,143.42499999999998,1,1,234
isolated_backups,adaptive,23,116.32500000000002,1,1,270
isolated_backups,naive,24,116.07500000000002,1,1,182
isolated_backups,adaptive,24,143.04999999999998,1,1,206
isolated_backups,naive,25,135.3,1,1,229
isolated_backups,adaptive,25,124.175,1,1,264
isolated_backups,naive,26,182.5,1,1,216
isolated_backups,adaptive,26,131.825,1,1,239
isolated_backups,naive,27,178.0,1,1,219
isolated_backups,adaptive,27,166.07500000000002,1,1,256
isolated_backups,naive,28,149.5,1,1,209
isolated_backups,adaptive,28,126.04999999999998,1,1,234
isolated_backups,naive,29,122.95000000000002,1,1,194
isolated_backups,adaptive,29,223.0,1,1,223
isolated_backups,naive,30,7.0,0,0,5
isolated_backups,adaptive,30,191.1,1,1,237
isolated_backups,naive,31,116.975,1,1,199
isolated_backups,adaptive,31,102.175,1,1,235
isolated_backups,naive,32,97.75,1,1,197
isolated_backups,adaptive,32,200.95000000000005,1,1,238
isolated_backups,naive,33,170.17499999999998,1,1,196
isolated_backups,adaptive,33,139.3,1,1,247
isolated_backups,naive,34,131.3,1,1,206
isolated_backups,adaptive,34,96.9,1,1,226
isolated_backups,naive,35,213.32500000000002,1,1,235
isolated_backups,adaptive,35,126.05000000000001,1,1,280
isolated_backups,naive,36,184.65,1,1,221
isolated_backups,adaptive,36,113.525,1,1,243
isolated_backups,naive,37,155.125,1,1,226
isolated_backups,adaptive,37,170.9,1,1,253
isolated_backups,naive,38,171.52500000000003,1,1,222
isolated_backups,adaptive,38,148.625,1,1,270
isolated_backups,naive,39,129.775,1,1,167
isolated_backups,adaptive,39,120.825,1,1,196
isolated_backups,naive,40,117.95,1,1,242
isolated_backups,adaptive,40,119.87499999999999,1,1,266
isolated_backups,naive,41,141.65,1,1,223
isolated_backups,adaptive,41,146.35,1,1,258
isolated_backups,naive,42,109.125,1,1,206
isolated_backups,adaptive,42,159.82500000000002,1,1,230
isolated_backups,naive,43,140.35,1,1,170
isolated_backups,adaptive,43,119.55000000000001,1,1,199
isolated_backups,naive,44,120.375,1,1,220
isolated_backups,adaptive,44,161.975,1,1,247
isolated_backups,naive,45,98.42500000000001,1,1,203
isolated_backups,adaptive,45,145.14999999999998,1,1,246
isolated_backups,naive,46,142.95000000000002,1,1,207
isolated_backups,adaptive,46,124.075,1,1,238
isolated_backups,naive,47,107.42500000000001,1,1,219
isolated_backups,adaptive,47,133.375,1,1,259
isolated_backups,naive,48,169.87500000000003,1,1,215
isolated_backups,adaptive,48,158.825,1,1,251
isolated_backups,naive,49,112.925,1,1,230
isolated_backups,adaptive,49,121.07499999999999,1,1,271
isolated_backups,naive,50,181.02500000000003,1,1,251
